1|임무용 아이템
2|임무용 사물 조작
3|전력 질주
4|탈것
5|텔레포
6|데존
7|공격
8|사격
9|재빠른 검격
a|철벽 방어
b|야성의 검격
c|재활
d|경각심
e|플래시
f|폭도의 검격
10|방패 가격
11|경계
12|도발
13|강철의 의지
14|임전무퇴
15|할로네의 분노
16|방패 각성
17|파멸의 진
18|방패 던지기
19|방패 후려치기
1a|충의의 검
1b|감싸기
1c|충의의 방패
1d|내면의 기개
1e|천하무적
1f|육중한 일격
20|예지력
21|골절
22|피의 갈증
23|두개골 절단
24|최후의 일격
25|관절 파괴
26|광폭화
27|잔혹한 일격
28|전투의 짜릿함
29|압도
2a|폭풍 쐐기
2b|일대일 결투
2c|보복
2d|폭풍의 눈
2e|도끼 던지기
2f|휘도는 도끼
30|수비 태세
31|원초의 혼
32|힘의 해방
33|강철 회오리
34|전장의 함성
35|연격
36|정권 지르기
37|새털 걸음
38|붕권
39|내단
3a|맞받아치기
3b|발경
3c|금강 태세
3d|쌍장타
3e|충격파
3f|홍련 태세
40|철산고
41|만트라
42|파쇄권
43|공명권
44|혈도 찌르기
45|진각
46|지열참
47|나찰충격권
48|촌경
49|질풍 태세
4a|쌍룡각
4b|직선 찌르기
4c|눈속임 공격
4d|날카로운 돌풍
4e|사선 찌르기
4f|겹찌르기
50|기합
51|연쇄 충격
52|다리 쳐내기
53|생명력 쇄도
54|올려 찌르기
55|필사의 각오
56|악몽의 쐐기
57|몸통 가르기
58|꽃잎 폭풍
59|가시 소용돌이
5a|꿰뚫는 발톱
5b|이단 찌르기
5c|점프
5d|용의 창
5e|교묘한 점프
5f|척추 강타
60|화룡 강타
61|육중한 사격
62|직선 사격
63|매의 눈
64|독화살
65|용맹한 사격
66|불타는 화살
67|고통 종결
68|고요한 사격
69|질주의 노래
6a|재빠른 활시위
6b|마구 쏘기
6c|그림자 묶기
6d|침묵의 화살
6e|사혈 화살
6f|일제 사격
70|후퇴 사격
71|바람 화살
72|현자의 담시곡
